Player name,Rating,Won,Draw,Lost
jenskun,2023,98,48,42
Vector1171,1898,26,12,33
blunder_and_lightning,1830,4,0,0
hitsujyun,1818,74,9,39
Docexadrez,1752,12,4,5
juqcho,1717,32,2,7
slippyRoof,1681,99,3,19
Bot9000,1674,10,0,2
Xuxublz907,1645,10,0,1
pascal_api,1637,307,59,199
danny224,1557,116,21,57
Lurker2099,1518,13,2,3
TangoK,1484,12,1,15
bureo,1445,191,6,57
Chocophile,1418,11,0,28
Mattisian,1413,453,30,328
JohnyEnglish007,1385,39,0,4
SMarta1000,1383,12,2,10
Murphgrass,1376,10,0,2
whitePeach2,1325,1,0,2
takeuchikurobey,1318,610,28,414
Sherlock_Holmes_157,1311,16,0,7
lazy-pengin,1292,110,6,64
tigtac,1286,368,42,372
Ayanokoji_sama,1265,2,0,4
Emito219,1262,4,0,3
hiroyuki1968,1262,5,0,2
maximillion555,1261,65,5,76
YastrebovDD,1247,48,5,48
Lazer787,1245,25,1,10
barbelo04,1216,7,0,1
spu001,1215,34,2,26
marinyar,1211,43,1,22
unicronz,1211,50,2,27
DrJoji,1210,3,0,3
UEYOSHICHESS,1199,57,3,62
porit,1189,18,0,4
DARUMA29,1185,13,0,2
Chesspiece_Smasher,1180,633,11,218
Sykura_101,1152,14,0,5
LavaSalad,1142,121,6,94
manukurisumkal,1140,6,1,4
Albrookery,1131,16,0,2
ItchyKnee,1131,11,0,14
GeiserC,1120,15,0,3
raphaelyudi,1116,17,0,12
Tafrank0,1107,2,0,3
Fillecom,1103,4,0,6
maximum18charac,1102,11,1,8
TerryYaki,1092,5,0,6
shokovic,1091,10,0,8
Black_Djek,1075,47,3,87
Kedbreak,1070,67,5,103
Ragdoll_Kitten,1066,20,1,5
ghostmostly,1023,42,4,34
SaitoRyuo,1017,8,0,1
shinrock,1006,2,0,1
sakechan0,999,4,0,1
belledchess,996,2,0,3
97ghost,992,4,0,6
kazuyamotooka,977,138,10,180
cylq,977,4,0,1
Suvian88,971,,,
popchesscorn,956,12,2,5
enkhtugs_1,946,4,0,0
dementiaspeedrun,914,3,0,0
NAGOYAHIKONE,902,2,0,5
FDReflet,899,9,1,26
Kaito-69,898,7,0,0
Paramerion,897,1,0,2
Nazir229,888,15,0,3
stubbit,882,3,0,2
Filozoa,879,3,0,1
yumegami,876,1,0,3
mabemabel,866,10,0,15
Manuel_AC,864,12,1,5
yurachance,852,67,0,18
Grantmachado,845,2,0,2
Ai_stillbelieved1246,831,1,0,5
usahiko,830,20,0,8
pwgmad,829,31,0,10
Fruta_abrico2022,815,1,0,3
Weirdly_Checked,813,1,0,2
mamavon0325,809,1,0,3
Nevergonnagiveyouup6,805,1,0,3
thomasr75,795,17,0,0
ChocoWaterMelon,783,13,0,5
TreeFalls,777,19,2,12
bad_move1,752,15,0,1
Mikahel369,744,8,0,5
e4_lover,738,4,0,3
SotaUN,718,2,0,3
IgorNakano,717,16,0,2
raintet,715,13,0,6
renkaisan,714,8,1,100
Mere6,708,17,2,14
FareSh83,700,13,0,4
Kokoro_komeiji,699,7,0,2
xhope999,669,14,0,4
shiratoe,664,5,0,2
yoppi0407,660,10,1,18
OsakaJack,660,1,0,3
orlov3398,660,2,0,5
Momoru42,653,1,0,5
Guber02,624,2,0,2
SainaaSaint,620,1,1,1
RedFastMath,616,11,0,23
portmantokyo,605,7,0,5
Shake4x,599,3,0,3
Mike3691,597,19,0,25
yamajunn,577,8,0,16
Initialized,554,4,0,4
mrsdifficulty,537,,,
Boramaru,532,1,0,2
AnoSheo,494,3,0,1
chess171212,485,1,0,7
Catfeatherna,482,4,1,3
CrisisCurry,455,13,0,60
ImAPencil,454,8,0,2
ima_da,396,1,0,3
yunameido,358,0,0,3
ayanokoh,356,4,0,6
Eugene_O_O,348,1,0,15
sugamchetri,272,6,0,3
fwfqtjfqjfajqtktwndj,132,6,0,12
