Player name,Rating,Won,Draw,Lost,Joined,Last Online chess.com server time
jenskun,2023,98.0,48.0,42.0,"Jul 25, 2013",2023-04-04 04:30:28
Vector1171,1898,26.0,12.0,33.0,"Mar 25, 2020",2023-04-04 04:30:32
blunder_and_lightning,1830,4.0,0.0,0.0,"Jan 26, 2018",2023-04-01 18:48:23
hitsujyun,1818,74.0,9.0,39.0,"Apr 28, 2009",2023-04-01 12:10:01
Docexadrez,1752,12.0,4.0,5.0,"Jul 21, 2021",2023-04-04 04:30:37
juqcho,1717,32.0,2.0,7.0,"Dec 5, 2011",2023-04-04 23:30:42
slippyRoof,1681,99.0,3.0,19.0,"Nov 1, 2020",2023-04-01 09:15:32
Bot9000,1674,10.0,0.0,2.0,"Mar 26, 2019",2023-04-01 09:01:36
Xuxublz907,1645,10.0,0.0,1.0,"Mar 23, 2022",2023-04-05 04:30:46
pascal_api,1637,307.0,59.0,199.0,"Nov 5, 2011",2023-04-01 11:22:57
danny224,1557,116.0,21.0,57.0,"Nov 1, 2013",2023-04-01 17:11:10
Lurker2099,1518,13.0,2.0,3.0,"Mar 31, 2021",2023-04-04 04:30:51
TangoK,1484,12.0,1.0,15.0,"Mar 1, 2013",2023-04-04 18:30:56
bureo,1445,191.0,6.0,57.0,"Nov 17, 2011",2023-01-21 00:00:00
Chocophile,1418,11.0,0.0,28.0,"Sep 29, 2015",2023-04-01 22:32:38
Mattisian,1413,453.0,30.0,328.0,"Oct 9, 2009",2023-04-02 00:28:29
JohnyEnglish007,1385,39.0,0.0,4.0,"Sep 5, 2022",2023-04-02 00:44:10
SMarta1000,1383,12.0,2.0,10.0,"May 20, 2021",2023-04-04 04:31:01
Murphgrass,1376,10.0,0.0,2.0,"Aug 4, 2015",2023-04-05 02:31:05
whitePeach2,1325,1.0,0.0,2.0,"Jan 16, 2023",2023-03-10 04:31:10
takeuchikurobey,1318,610.0,28.0,414.0,"Jan 24, 2011",2023-04-03 05:38:47
Sherlock_Holmes_157,1311,16.0,0.0,7.0,"Jan 10, 2022",2023-04-04 02:23:43
lazy-pengin,1292,110.0,6.0,64.0,"Feb 17, 2015",2023-04-01 21:52:54
tigtac,1286,368.0,42.0,372.0,"Feb 4, 2012",2023-04-02 01:01:09
Ayanokoji_sama,1265,2.0,0.0,4.0,"May 11, 2022",2023-04-01 10:44:27
Emito219,1262,4.0,0.0,3.0,"Sep 11, 2022",2023-04-04 20:31:15
hiroyuki1968,1262,5.0,0.0,2.0,"Sep 15, 2021",2023-04-01 21:59:15
maximillion555,1261,65.0,5.0,76.0,"Apr 24, 2011",2023-01-06 00:00:00
YastrebovDD,1247,48.0,5.0,48.0,"Feb 25, 2017",2023-04-01 18:35:33
Lazer787,1245,25.0,1.0,10.0,"Mar 2, 2021",2023-04-01 18:03:16
barbelo04,1216,7.0,0.0,1.0,"Feb 16, 2023",2023-04-01 19:59:34
spu001,1215,34.0,2.0,26.0,"Nov 4, 2017",2023-04-01 22:45:23
marinyar,1211,43.0,1.0,22.0,"Feb 6, 2017",2023-04-04 03:09:03
unicronz,1211,50.0,2.0,27.0,"Sep 11, 2021",2023-04-02 08:22:07
DrJoji,1210,3.0,0.0,3.0,"Nov 16, 2020",2023-04-01 16:15:47
UEYOSHICHESS,1199,57.0,3.0,62.0,"Aug 18, 2015",2023-04-01 17:35:31
porit,1189,18.0,0.0,4.0,"Jan 13, 2020",2023-04-01 10:15:59
DARUMA29,1185,13.0,0.0,2.0,"Aug 21, 2021",2023-04-01 22:40:24
Chesspiece_Smasher,1180,633.0,11.0,218.0,"Dec 2, 2017",2023-04-05 03:31:19
Sykura_101,1152,14.0,0.0,5.0,"Oct 17, 2021",2023-03-24 22:47:47
LavaSalad,1142,121.0,6.0,94.0,"Jul 20, 2014",2023-04-01 20:24:05
