Player name,Rating,Won,Draw,Lost
tor123546,2046,34,1,1
hnishy,2044,742,34,132
GMsamargalo,1951,40,2,6
Keeper64,1943,2158,127,527
Megumi_N,1902,85,0,35
realelhammondo,1756,46,0,15
kio6750,1687,18,1,9
kanapov2,1682,230,5,33
AmanoKozue,1663,15,3,6
Sota2001,1637,50,3,14
AP_Nick,1628,1135,51,592
galactic_queen,1450,38,2,29
Strongbad22,1432,123,5,106
KINGZ-47,1422,28,0,16
Sedinery,1418,3108,190,1729
kirishima,1417,498,12,255
Rolando_third30,1415,67,1,72
Logergik2,1406,16,1,12
UEYOSHICHESS,1399,35,2,27
Kanapov,1389,58,5,185
okaberintaro999,1372,51,8,44
alphatatas,1350,26,2,24
tempovivo,1330,41,2,53
MorningWalk123,1325,14,1,11
maximum18charac,1323,37,2,38
mabemabel,1305,59,3,78
MikioHayase,1293,45,2,44
pott88,1289,18,0,18
ebiwoteni,1288,13,0,13
TokyoDynamite,1285,19,0,2
ObsidianPhoenix,1282,15,3,4
senseitama1010,1280,18,1,16
Squetle,1275,148,12,122
jincha19,1265,65,1,63
Kawaihari,1261,19,0,32
zac2phil,1252,10,0,10
Mohammeduu,1247,15,0,18
pujanaik,1232,13,1,10
KyotoWind,1231,41,3,51
Black-Roses,1229,268,9,61
anb6916,1225,14,2,10
chessbobo,1223,167,10,210
cokev0mit,1218,13,0,8
dreamy97,1215,17,1,5
yakitoripakupaku,1214,35,4,46
sei0808,1203,41,0,21
brunotluz,1198,23,0,22
Katsuharu_Miyuki,1185,14,0,8
shinrock,1181,19,3,19
kimwg,1181,30,0,2
RedFastMath,1161,24,0,8
Kuroshi53,1154,18,0,3
rorkenz,1151,12,0,39
makkudooru,1145,36,0,23
ggc7805,1134,12,1,20
Soulreaper1312,1131,13,1,10
honestli,1128,27,4,19
elhadjiboubacar,1125,13,0,25
Nyx_kise,1123,30,5,42
ekiral,1117,11,0,9
Alvin1977,1110,8,0,16
ArsenalSwagus,1091,19,0,16
Jintoku,1083,,,
CookieComputer,1081,17,1,11
chessimunati,1079,49,13,9
manmusk,1076,30,1,39
maswid,1073,17,0,26
Kingyoya,1060,15,0,8
pao-mao,1058,158,15,112
yanediablo,1053,57,1,126
Kenzo_Ichinose,1036,12,0,14
Aghavni_Sugiyama,1034,14,0,7
Karthick0717,1032,11,0,23
alexanderfranceschi,1031,12,2,15
BourgogneBlanche,1025,152,0,129
CallMeMySweetBunny,1008,14,0,20
sdude09,1006,38,1,34
htollefson,1001,29,3,18
HancockxLuffy,997,11,1,16
amaclaire,997,15,1,9
SubashOjha,991,32,16,34
Viktoritanos,980,32,1,20
ai-chan2018,980,44,0,65
subsojha,968,25,15,30
RamGutz,951,18,0,28
Lambda2,943,13,2,11
Pako_Takuma,936,15,0,41
Wasd9848,922,20,1,66
ghosts7,915,26,0,40
Angel0fFire,904,26,3,0
Erdene1112,900,19,3,11
AronSanOsaka,887,10,0,15
OnayM,879,28,4,11
calotengoo,868,19,2,47
thisisthewhale,858,13,2,30
tenshi1234,845,29,4,39
coco77551,844,20,2,45
Sandy0520,830,12,4,6
Meisayoutuber,823,6,0,15
uyutaso,819,11,0,35
naytica,799,9,0,24
Same_STand_JoTaro,779,31,6,28
zhlee552,777,10,1,31
NarutoUzumaki04,753,7,3,21
dream_eater02,750,38,0,50
khasar183,730,24,3,52
meripares,723,7,3,17
Wolf_Charli,723,4,2,15
fatBatman123,692,14,0,19
riku38,684,9,0,16
Kira-Shinigami,667,26,3,27
x4on,665,,,
Boramaru,659,111,2,62
chess171212,627,6,0,54
Guber02,623,64,2,112
iiiviiil,621,12,1,31
marotani,620,37,10,20
Sp_oken,593,17,3,6
shumailunch,567,3,0,21
dedustinal,561,8,3,27
lilgabe223,546,7,1,30
SadMongoose2,486,0,3,26
takamina_2,372,12,2,20
NickJaJa,307,11,4,29
