Player name,Rating,Won,Draw,Lost,Joined,Last Online,Scraping time,Last Online chess.com server time
tor123546,2046,34.0,1.0,1.0,"Sep 9, 2022","Feb 19, 2023",2023-04-02 14:00:02,2023-02-19 00:00:00
hnishy,2044,742.0,34.0,132.0,"Jan 1, 2010",41 minutes ago,2023-04-02 13:51:01,2023-04-01 18:10:01
GMsamargalo,1951,40.0,2.0,6.0,"Nov 24, 2012",7 hours ago,2023-04-02 13:49:10,2023-04-01 11:49:10
Keeper64,1943,2158.0,127.0,527.0,"Mar 1, 2022",Just now,2023-04-04 10:32:49,2023-04-03 15:32:49
Megumi_N,1902,85.0,0.0,35.0,"Jun 4, 2018",Online Now,2023-04-02 13:54:18,2023-04-01 18:54:18
realelhammondo,1756,46.0,0.0,15.0,"Oct 17, 2015",1 day ago,2023-04-02 14:07:18,2023-03-31 19:07:18
kio6750,1687,18.0,1.0,9.0,"Aug 31, 2020","Mar 15, 2021",2023-04-02 15:55:09,2021-03-15 00:00:00
kanapov2,1682,230.0,5.0,33.0,"Jan 4, 2023",9 hours ago,2023-04-02 14:02:43,2023-04-01 10:02:43
AmanoKozue,1663,15.0,3.0,6.0,"Sep 23, 2020",Online Now,2023-04-02 15:36:27,2023-04-01 20:36:27
Sota2001,1637,50.0,3.0,14.0,"Sep 2, 2020",18 days ago,2023-04-02 14:56:13,2023-03-14 19:56:13
AP_Nick,1628,1135.0,51.0,592.0,"Apr 12, 2020",11 hours ago,2023-04-02 14:42:21,2023-04-01 08:42:21
galactic_queen,1450,38.0,2.0,29.0,"Feb 4, 2019",Online Now,2023-04-02 17:29:42,2023-04-01 22:29:42
Strongbad22,1432,123.0,5.0,106.0,"Jan 29, 2019",3 hours ago,2023-04-02 18:12:13,2023-04-01 20:12:13
KINGZ-47,1422,28.0,0.0,16.0,"Mar 12, 2021",3 hours ago,2023-04-02 16:08:08,2023-04-01 18:08:08
Sedinery,1418,3108.0,190.0,1729.0,"Jan 9, 2012",1 day ago,2023-04-02 18:15:50,2023-03-31 23:15:50
kirishima,1417,498.0,12.0,255.0,"Nov 7, 2010",5 hours ago,2023-04-02 15:38:46,2023-04-01 15:38:46
Rolando_third30,1415,67.0,1.0,72.0,"Jul 8, 2020","Feb 3, 2022",2023-04-02 21:09:12,2022-02-03 00:00:00
Logergik2,1406,16.0,1.0,12.0,"Jan 26, 2023",Online Now,2023-04-04 10:35:33,2023-04-03 15:35:33
UEYOSHICHESS,1399,35.0,2.0,27.0,"Aug 18, 2015",4 hours ago,2023-04-02 16:35:31,2023-04-01 17:35:31
Kanapov,1389,58.0,5.0,185.0,"Aug 27, 2011",8 hours ago,2023-04-02 14:56:40,2023-04-01 11:56:40
okaberintaro999,1372,51.0,8.0,44.0,"Aug 12, 2021","Mar 1, 2023",2023-04-03 00:29:49,2023-03-01 00:00:00
alphatatas,1350,26.0,2.0,24.0,"Dec 19, 2020",Just now,2023-04-02 16:42:52,2023-04-01 21:42:52
tempovivo,1330,41.0,2.0,53.0,"Dec 20, 2019",Just now,2023-04-02 21:14:27,2023-04-02 02:14:27
MorningWalk123,1325,14.0,1.0,11.0,"Mar 24, 2016",3 hours ago,2023-04-02 19:02:52,2023-04-01 21:02:52
maximum18charac,1323,37.0,2.0,38.0,"Feb 28, 2015",6 minutes ago,2023-04-04 11:02:52,2023-04-03 15:56:52
mabemabel,1305,59.0,3.0,78.0,"Jun 9, 2018",7 hours ago,2023-04-02 18:22:20,2023-04-01 16:22:20
MikioHayase,1293,45.0,2.0,44.0,"Oct 8, 2018",17 days ago,2023-04-02 21:02:21,2023-03-16 02:02:21
pott88,1289,18.0,0.0,18.0,"Sep 28, 2013",21 minutes ago,2023-04-02 19:43:13,2023-04-02 00:22:13
ebiwoteni,1288,13.0,0.0,13.0,"Sep 18, 2020",2 days ago,2023-04-02 17:50:59,2023-03-30 22:50:59
TokyoDynamite,1285,19.0,0.0,2.0,"Sep 4, 2017",4 hours ago,2023-04-02 18:08:38,2023-04-01 19:08:38
ObsidianPhoenix,1282,15.0,3.0,4.0,"Mar 30, 2020",3 minutes ago,2023-04-02 15:24:38,2023-04-01 20:21:38
senseitama1010,1280,18.0,1.0,16.0,"Sep 16, 2018",3 days ago,2023-04-02 21:15:27,2023-03-30 02:15:27
