Player name,Rating,Won,Draw,Lost
Angry_Twin,2866,2779,517,1901
Ryuzaki_Mochizuki,2776,403,33,248
csgt_voz,2768,141,20,57
Black-Flash,2738,597,111,569
Gats1,2718,1169,160,1110
RedGhost128,2707,346,105,244
Shinei_Nouzen86,2670,160,15,66
Shunyday,2656,335,36,137
Freefresh,2616,1154,230,1054
crossingthestreet,2599,3962,625,3589
oonoo888,2560,89,16,71
clouds_71,2559,49,5,12
NuuOe,2556,146,21,53
Iwillbecomethepirateking,2555,1409,219,818
GMsamargalo,2549,1577,179,1016
rnanjo,2536,4460,531,3198
Takao2020,2534,3814,552,4158
SayonaraPonytail,2514,138,14,120
SamuraisOfChess,2507,1587,238,1346
PhysalisEvodia,2502,324,25,125
EpicPlayz282,2502,340,45,241
LeishaMallow,2495,95,4,19
gm3t,2495,257,8,50
Jet_Black1,2493,3137,810,3863
Kiyopon55,2484,489,90,383
Unforgettable-Momeries,2475,96,6,28
JabamiYumeco,2472,369,48,373
Mayoio,2415,74,4,6
FFopen,2408,28,1,10
number9,2407,15112,3020,11793
iggy814,2401,4529,715,4825
hnishy,2396,1436,213,1107
jeruweru,2393,218,36,163
Brankica_09,2389,581,56,374
miyamotojiki,2376,279,35,257
MasatoNishiyama,2348,4642,652,4644
BigMightGuy,2346,220,16,127
Fifth_something,2342,1807,389,1245
KawaguchiYurina,2339,413,48,346
akaidgl451,2325,31,0,0
ninarumichi,2325,126,16,118
Hercule_Satan,2324,139,16,68
fujiwara_hoga,2319,4007,515,3483
SenseiSatoru17,2310,539,77,390
Diego_Yokohama_Chess,2309,1771,230,1358
GMironfist19,2302,1910,294,2165
shemshak873,2302,2662,508,2140
27GM,2293,63,7,31
Yenalvsu,2280,48,3,11
uistos,2279,253,12,111
jamomollie,2278,10,2,9
Shiki_chess,2278,412,26,299
zezazuzu,2271,22,1,6
Paku-Paku,2270,72,7,37
Chaz,2268,287,23,40
FujiiwaraNoSai,2264,151,13,51
Eirisu,2260,30,0,5
Mister_Mime,2258,1914,90,1430
Taipanmix,2258,13494,1346,12269
Matasaburo,2257,358,98,223
ptetmepugner,2255,671,82,652
Megumi_N,2249,2842,320,2703
Mi-Wan,2248,,,
RikudouSennin,2245,1704,103,1323
qSogeking,2233,29,3,19
BadBishop5,2223,1565,153,1064
djahongir2,2222,1591,134,1189
chesstrainer95,2219,216,33,174
MiyamotoMusashi13,2215,23,3,14
keikinkg,2213,634,126,445
wakamoridesu,2212,14552,1633,14693
makoa,2204,26,1,8
suikuren,2204,100,13,74
DimDo0M,2202,778,71,639
monopaul-jp,2202,3999,355,3881
AlexanderEdogawa,2200,3100,290,2615
testcalls69,2199,817,59,622
Giyuu_Tomioka,2188,1147,109,956
NMFabianTreutlein,2188,317,30,277
lovew1n,2177,19,5,6
Vlsoes,2177,17,0,3
2KnightShow,2176,6345,948,4891
Y-A-N-S-U,2175,277,34,127
kalafina_fan,2175,190,26,124
Fayfe,2172,184,9,96
Hiraku_Shimada,2171,55,8,29
scourzuki,2171,24,0,17
Karutt001,2166,212,32,160
masahirobaba,2160,1169,167,782
RichesttMan,2160,25,0,5
Embarcadero,2159,5055,1005,3367
lacisaille,2157,362,30,306
ScathachU,2155,77,4,20
BAVMAX,2154,136,22,74
gregorius1,2154,1655,220,1589
Out_of_the_Zoo,2151,93,10,68
only-fischer,2149,8130,959,8338
IamJval,2146,698,81,771
Zherna,2141,8541,676,7936
jan080760,2139,461,40,337
Ryuji_Kanzaki,2134,86,7,57
Lain_From_Wired,2129,2007,168,1443
sota7,2128,463,48,312
arcice,2128,31,1,13
shokomai,2128,796,73,669
Brinval,2125,12381,749,9684
yamatoji221,2124,969,110,885
DogHateMe,2119,999,120,966
3rdyoungmaster,2118,188,29,107
HRHAzula,2116,182,16,150
nishiokaraychel,2114,19,3,2
rockydes,2111,10561,948,9892
yuutin,2110,,,
EnchiV,2108,2028,165,1781
tor123546,2107,246,6,69
cheburashka777,2105,18588,1941,14412
KazuyaNakamura,2102,856,75,694
superpikachu,2101,26351,2051,21713
D1ss1pl1n3,2101,543,33,428
kenleavister163,2100,881,92,690
ryotaro1023,2096,5754,585,5357
Zucci,2095,5316,526,4717
UncleSwindle,2094,827,71,750
Sydi,2093,843,94,658
Mizu653,2088,56,4,23
blunder_and_lightning,2086,1131,115,1008
FMKudo,2086,22,1,14
Bot9000,2084,2118,406,2014
georgt,2083,4848,727,4821
bishopenpassant,2078,2314,293,1730
samurai_tak,2077,1276,107,1162
AnotherMonster,2072,3892,364,3373
ryuugakusei,2071,131,10,103
Sas_aki,2067,35,2,9
skkult,2059,52,3,47
B_o_l_o_g_n_aJun,2057,259,23,109
DisturbingChild,2057,1177,97,1034
kanapov2,2050,438,18,219
HakaiNoTatsujin,2050,339,16,237
Green10107,2048,781,107,642
Ikemensama,2047,568,87,510
Nerimath,2047,192,13,81
Lazer787,2041,401,31,281
bebikotan,2038,804,117,714
chernobylpower,2036,5121,563,4395
oskar_hall,2036,647,88,555
AxelMurdock,2033,561,39,277
Chronomosis,2029,148,5,64
Erina_Chan,2028,1569,129,2064
YamaikoAkemi,2025,20,2,5
MeijiXX,2022,4916,520,5499
P4R4N01D4NDR01D,2020,174,19,142
ryouyin,2017,5722,387,5675
Krimmsson,2017,90,10,60
flyhighponta,2016,8301,1270,7006
kH4winKfVxiJhVWs,2015,142,10,81
K-a-k-a-s-h-i,2015,266,14,159
Melkor_14,2013,2975,302,2969
Wataru17,2011,848,57,720
zxc_mnm,2011,120,3,21
star_kurosaru,2010,3387,256,3475
RahTNM,2010,,,
broncobally,2009,15263,1567,13856
asuragi,2007,76,2,24
pojican,2004,385,25,317
chess0684,2002,34,3,26
higapon,2001,9252,1072,7604
tottoa,2000,2501,170,2133
ramoveatnust,1997,5612,736,5561
NEZGODAN-MOMAK,1994,8039,682,7506
ElSamuraiRua,1989,203,22,154
MirTheDragon,1989,13,1,6
Zosaya,1985,50,6,11
yngiled,1984,8812,532,8734
Pon_de_Lion,1984,8655,1112,8314
21osakat,1983,531,48,385
mekki42,1983,2369,328,2120
tsetsenkhuu,1982,1589,123,1386
realelhammondo,1980,5934,595,5389
hanymazn57,1978,3032,56,2643
EliteHo3,1978,2431,185,2246
ni2482,1975,14692,890,12138
neverdieee,1972,502,40,415
Miss-Tical,1970,295,38,248
Reasonable_Leopard,1968,775,53,624
Ryuzaki1173,1968,29,2,9
NoisyDragon,1967,433,9,264
sora1066,1967,48,7,27
GanyuMains,1967,97,10,65
FISHER20,1967,2182,178,1818
Schakkamura,1966,2636,209,1602
IM-Houdini,1966,40,5,29
kiula1101,1965,5718,552,5363
samurai_245,1963,6636,726,5913
MikaelBjarki,1963,2433,271,2535
bong1101,1961,3347,325,3109
BackPawn52,1961,262,24,216
h8gi,1958,4018,314,3588
TetsuroHoshino,1957,606,22,625
Nitschnicolas,1956,774,147,721
Azleaf-007,1955,1674,131,1626
chikuwasenpai,1953,2480,247,2624
shaghayegh1390,1953,351,23,235
cuteemeow,1952,260,15,110
Inayat_0510,1950,253,12,132
ayuss77,1950,39,1,16
kawaki987,1949,711,59,599
karlatan01,1947,276,24,184
Morijiro,1946,1263,140,997
berserk1320,1945,2875,419,2629
Hikaru_Shindo,1943,796,83,693
Party_Of_One,1941,,,
Kakashi89,1938,1897,135,1794
slutfi,1937,4950,454,4758
TheLoneWolf04,1936,683,80,622
YuAisu,1935,2732,380,2258
ONI_hunter,1934,653,91,568
YellowF1ash,1932,63,2,44
gabrielle0412,1932,7920,567,7739
Rvl_Leader,1931,2057,190,1885
yuuki600905,1931,1206,119,929
Sheogorad,1930,82,9,42
Lycaon-Pictus,1929,583,63,429
Ryovichi,1929,94,3,26
ndodos,1928,2102,219,1803
elaurente23,1926,2269,162,2169
Arth_07,1922,3289,358,2952
tw2r583,1919,2165,342,2564
luciano_kayanoki,1916,59,6,26
Kritanta,1916,805,44,683
Queennuu,1914,22,7,16
miscacctxx,1912,134,7,80
AncientSquash,1911,934,99,799
DeepBlueXS,1911,917,138,611
Shadowaoioni,1911,1981,207,1785
o0_KnightsTale_0o,1910,3388,396,3652
AkumaPumpkin,1909,30,4,16
Pekoooora,1909,210,11,84
kamiyakumo,1908,4774,471,4267
enju,1907,3918,379,3206
philipthomasneumann,1907,19,0,1
PhenomenalPhantom,1907,68,2,48
iCMpro,1906,272,30,260
fujiicorn,1906,9410,751,9179
Antelminelli,1906,20,1,3
El_Rey_Shotoku_Tenno,1905,340,26,249
miscacctxxxxxx,1904,437,35,331
detector21,1904,2872,207,2540
KakashiHatake2,1904,563,40,456
sutek001,1904,5801,686,5658
kebon13,1903,370,19,278
Ai_Mori,1903,148,10,59
taishi33696639,1902,6257,365,5967
miscacctxxxxxxx,1902,473,43,389
hikoroman,1902,64,5,69
tifa_forever,1901,403,38,258
coffee_bean13,1901,26,0,10
Nimzoviva,1901,36,4,13
PawnTakesAll69,1901,6564,545,6030
KnightsMurderer,1901,242,24,103
yamasouu,1901,650,44,464
DaimyoNobunaga,1901,,,
ohnotokyo,1900,1032,101,866
Player140020,1900,195,14,142
XStockFishLevelX20,1900,175,35,130
sioya,1900,2147,124,1975
shicoooooo,1899,3337,206,2982
Endital1ng,1898,28,8,22
contami,1897,1576,122,1421
lightning3119,1896,1208,99,1040
Lemonewide,1896,134,5,82
jcboy26,1895,498,22,419
Yukina55,1895,1138,56,559
atom_jpn,1895,205,17,119
Zabzooby,1895,565,23,469
NicoRobin5,1894,68,0,28
TroubleMaki,1894,140,48,54
chaidi,1893,2639,197,2265
JockeyCosmique,1893,599,54,476
nohumansite21,1892,146,5,69
TatsuyaEatFreshShiba,1892,112,18,102
llErza-Scarlet,1892,24,2,16
Nananto,1892,1676,131,1541
cobaltcocoa,1892,1055,83,1007
aoi_blue,1891,184,26,148
Roman_ily,1891,163,6,92
Sky24,1891,7661,366,7887
syga60000,1891,76,22,99
japaneseman0501,1891,327,30,259
traumprinzzz,1888,122,1,52
PUPUNIN,1887,27906,2963,25411
lordsmokugawa,1887,27,8,19
Tshira,1886,59,8,42
tsurina,1886,180,7,100
Dawaking,1886,184,47,80
SkippyPeanutButter1,1885,5496,351,5153
LuffyEmperor1997,1885,124,6,66
kuromaru_kashiwa,1884,182,15,97
dmitrydorenko,1884,249,32,167
SuzMasat,1883,211,14,135
shch33,1883,3212,455,2897
YeMann999,1881,3868,380,3512
yumasayato,1881,35,4,20
tamagosand,1881,188,37,64
Youcantblock_Kai,1879,960,87,909
Joey_JoJo_JrShabadoo,1879,7423,742,7158
DELTA2020,1879,4201,444,4567
bchakma,1878,2696,515,3544
Ukinon,1877,2590,187,2432
mutaito-st,1877,1659,168,1435
miscacctxxxxxxxx,1876,340,28,238
maximillian1231,1876,,,
retrospective-adj,1874,5632,366,5269
lucianoska,1873,10366,1075,8444
ShirakamiFubukingFBK,1872,73,2,25
hotchoc0,1871,1586,128,1440
SaiyanChessPlayer,1871,85,4,60
Bolcano,1869,12343,1004,10758
BakuMadarame1,1869,14,0,7
angxdev,1869,29,1,9
ssharkoon,1869,4894,422,4587
seijun01,1868,66,1,17
yuya64,1867,280,42,224
ryoshiomi,1867,23,1,10
knm_310,1865,45,4,25
TrixR4kids1337,1865,32,4,25
kishmo,1864,1214,169,1227
Kaminari_77,1864,68,8,79
acanthus32,1864,87,9,55
Wanococoro,1863,5774,748,5408
FloatingFiesta,1863,6462,862,6252
handsometom1,1863,6727,638,6721
tkihira,1862,7641,636,7451
BEDWAR5,1861,1683,138,1460
s4egusa,1860,206,22,138
3errrr,1859,471,40,373
buhibuhi,1858,2685,139,2524
elwolfo1775,1858,6740,786,6393
K-Yoshi,1857,11,1,8
naminduashan,1856,9670,1128,10030
Dragon-Kirito,1856,90,12,71
kisas_1,1855,13552,1425,13181
jgsfld,1854,265,49,243
Cgo271914,1853,1148,110,1065
nikumarekko,1853,88,26,41
mrCoupdetat,1850,15559,1529,16945
johncarlos25,1849,1460,131,1320
llZlll,1849,592,12,471
sorenzo,1848,4677,381,4001
HideyoshiKunimori,1846,691,74,630
chopmateking,1845,634,47,483
Symbols0,1844,275,21,216
Remember49,1843,2539,339,2468
Miyamoto_Musashi2004,1842,2856,242,2686
takeshi33333333ax2aw,1841,147,4,69
Jtorq,1841,1315,100,1292
M4A1FOX,1841,5275,558,5039
kiril05,1841,527,103,492
Lawliet189,1841,209,23,156
JustAnotherUser777,1840,110,0,10
Sink191,1840,51,4,32
suki_07,1840,,,
Gojoo_Satoru,1839,68,1,4
optanaka,1838,1668,129,1518
WibuSadBoyy,1838,11,1,10
Chaos_62,1838,216,12,192
Doomsday_2032,1837,1514,127,1378
tsunaron,1836,160,26,67
Aleksandrkoven,1836,1582,172,1326
ElCaballero_dePapel,1835,2213,212,1975
kiskisi6666,1835,299,32,213
Shinkansen_Bullet,1835,2453,209,2381
bakura_x,1835,164,2,68
matomo33,1833,1035,42,884
King0fHack,1833,21,1,3
miscacctxxxxx1,1833,386,22,290
manmarukirby,1832,82,6,63
miizilow,1832,29,5,37
piyoko,1831,8465,573,7571
f1ria,1831,667,40,564
yuki999,1830,3513,267,3393
CampingSniper,1830,926,66,803
ichi-go-ichi-e,1830,273,25,211
josegaryancheta,1830,1316,112,1217
phacuong,1828,213,25,210
Katana-Wakizashi,1828,370,27,279
PaulusOOKA,1827,372,50,317
randO2,1826,26,1,12
BourgogneBlanche,1825,491,18,374
NekoObake,1824,1147,111,970
ColorLess_K1ng,1824,14,0,22
Colonel8Monar,1824,1059,118,843
OyamaCo,1822,3229,226,3219
wanwan0308,1821,9091,892,9413
Nehoki,1821,193,18,172
bucchi1313,1820,504,55,471
tofune,1820,17,2,6
caesar12311,1818,856,71,689
takeshi33333333,1817,126,5,70
ARKgrim,1815,789,83,729
huruhu,1815,3397,261,3244
Shinobimichi,1815,97,5,88
KarpovWannabe,1815,161,15,106
SteinsGate,1815,91,7,68
takeshi33333333ax,1814,201,4,106
xvxixcxtxoxr1999,1814,2210,148,1813
Tooro_42,1814,4283,566,4391
WonderfulChessNinja,1813,431,60,401
