Player name,Rating,Won,Draw,Lost,Joined,Last Online,Scraping time,Last Online chess.com server time
Angry_Twin,2866,2779.0,517.0,1901.0,"Aug 4, 2012",1 day ago,2023-04-02 13:47:30,2023-03-31 18:47:30
Ryuzaki_Mochizuki,2776,403.0,33.0,248.0,"Oct 27, 2020","Jan 16, 2023",2023-04-02 13:47:36,2023-01-16 00:00:00
csgt_voz,2768,141.0,20.0,57.0,"Oct 26, 2022",9 days ago,2023-04-02 13:47:43,2023-03-23 18:47:43
Black-Flash,2738,597.0,111.0,569.0,"Jul 31, 2021",1 day ago,2023-04-02 13:47:50,2023-03-31 18:47:50
Gats1,2718,1169.0,160.0,1110.0,"Oct 12, 2020",4 days ago,2023-04-02 13:47:57,2023-03-28 18:47:57
RedGhost128,2707,346.0,105.0,244.0,"Jul 24, 2022",2 days ago,2023-04-02 13:48:03,2023-03-30 18:48:03
Shinei_Nouzen86,2670,160.0,15.0,66.0,"Jun 22, 2022","Dec 27, 2022",2023-04-02 13:48:10,2022-12-27 00:00:00
Shunyday,2656,335.0,36.0,137.0,"Feb 16, 2023",Just now,2023-04-02 13:48:17,2023-04-01 18:48:17
Freefresh,2616,1154.0,230.0,1054.0,"Apr 2, 2018",8 hours ago,2023-04-02 13:48:30,2023-04-01 10:48:30
crossingthestreet,2599,3962.0,625.0,3589.0,"Apr 10, 2020",Just now,2023-04-02 13:48:37,2023-04-01 18:48:37
oonoo888,2560,89.0,16.0,71.0,"Oct 16, 2021",2 days ago,2023-04-02 13:48:44,2023-03-30 18:48:44
clouds_71,2559,49.0,5.0,12.0,"Jan 11, 2023",7 days ago,2023-04-02 13:48:50,2023-03-25 18:48:50
NuuOe,2556,146.0,21.0,53.0,"Sep 24, 2022",3 days ago,2023-04-02 13:48:57,2023-03-29 18:48:57
Iwillbecomethepirateking,2555,1409.0,219.0,818.0,"Dec 29, 2018",13 hours ago,2023-04-02 13:49:03,2023-04-01 05:49:03
GMsamargalo,2549,1577.0,179.0,1016.0,"Nov 24, 2012",7 hours ago,2023-04-02 13:49:10,2023-04-01 11:49:10
rnanjo,2536,4460.0,531.0,3198.0,"May 22, 2011",13 hours ago,2023-04-02 13:49:16,2023-04-01 05:49:16
Takao2020,2534,3814.0,552.0,4158.0,"Jun 1, 2020",5 hours ago,2023-04-02 13:49:23,2023-04-01 13:49:23
SayonaraPonytail,2514,138.0,14.0,120.0,"Nov 17, 2021",29 minutes ago,2023-04-02 13:49:29,2023-04-01 18:20:29
SamuraisOfChess,2507,1587.0,238.0,1346.0,"Nov 23, 2014",3 days ago,2023-04-02 13:49:36,2023-03-29 18:49:36
