Player name,Rating,Won,Draw,Lost
Koga_Tomoe,2824,350,17,68
Chaz,2790,690,27,202
RedGhost128,2711,749,110,450
SewerpersonFan,2640,24,0,5
incompatibIe,2609,35,1,6
Fifth_something,2590,2756,274,1821
akaidgl451,2585,238,14,36
27GM,2577,78,4,23
Unforgettable-Momeries,2548,91,3,38
Freefresh,2536,1172,140,973
GMsamargalo,2519,738,68,485
NMFabianTreutlein,2503,995,94,720
SamuraisOfChess,2502,2667,253,1798
oonoo888,2496,86,4,51
Kiyopon55,2475,80,12,49
no_check_in_1,2455,37,0,6
Rochan_to_Danke,2430,773,26,162
Brankica_09,2428,250,12,146
MasatoNishiyama,2426,6037,439,5047
makoa,2412,13,4,3
Black-Flash,2408,15,4,24
FlamingoTrigger40,2405,155,11,35
vaxei1,2402,74,11,96
FMKudo,2380,453,28,358
Rrra5,2360,1727,262,2093
Takao2020,2357,354,43,205
jeruweru,2351,2303,264,2331
csgt_voz,2349,206,10,39
suikuren,2340,146,6,60
Keeper64,2327,805,102,644
lovew1n,2318,297,11,58
Shezarr,2286,519,17,261
djahongir2,2282,1593,146,1203
RedVelvet_Wendy,2278,1456,149,843
KARASUMA1,2275,327,31,223
EpicPlayz282,2263,104,8,38
ptetmepugner,2252,32,1,17
rnanjo,2251,7523,389,5898
Mazerluck,2249,234,42,182
Shunyday,2243,29,0,3
BigMightGuy,2232,154,7,72
sota7,2225,420,35,254
SamuraiTotoro,2224,779,49,559
KawaguchiYurina,2220,237,22,251
Fayfe,2219,480,26,352
yutorisedai,2214,737,41,617
Megumi_N,2206,3347,355,3104
IM-Houdini,2200,80,7,22
Mister_Mime,2196,8044,345,6262
zxc_mnm,2193,75,2,59
Shiki_chess,2191,454,18,318
Nerimath,2191,8154,455,6371
GMironfist19,2182,841,80,883
Iwillbecomethepirateking,2178,661,63,386
cuteemeow,2174,297,8,91
yuutin,2171,353,22,233
PawnTakesAll69,2166,13332,1192,12258
Mizu653,2149,342,21,231
Embarcadero,2146,155,13,101
EliteHo3,2141,9450,542,8798
DimDo0M,2138,561,41,382
DeepBlueXS,2133,2561,315,2226
YukiAID,2126,,,
xPOPPIN,2123,24,0,12
MiyamotoMusashi13,2122,12,0,15
Nishikigi_Chisato,2122,116,3,2
TurkeySG,2118,218,16,150
testcalls69,2115,1096,105,889
KazuyaNakamura,2107,756,50,559
UncleSwindle,2105,7552,716,6962
TatsuyaEatFreshShiba,2103,633,37,545
TheManFromJapan69,2103,23,1,4
hx_merl,2102,260,20,186
CaptainBl4ck,2101,26,6,15
HakaiNoTatsujin,2093,249,15,159
sora1066,2088,20,1,9
DogHateMe,2085,2180,225,2141
Y5Jimmy0Y,2081,3137,179,2813
Karutt001,2074,2222,255,1718
mxkeouthill,2073,175,4,33
AxelMurdock,2071,1836,98,886
Sink191,2064,18,2,6
FujiiwaraNoSai,2056,61,4,15
yuma8128,2056,55,4,27
Diego_Yokohama_Chess,2054,2926,156,2337
nguyenhazuki,2052,5478,195,4932
shemshak873,2042,6748,658,5689
Arth_07,2040,2736,236,2775
HaminaSandwich,2038,31,1,11
karlatan01,2035,130,12,86
Hiraku_Shimada,2035,54,2,31
asisky,2030,3786,230,3346
AKOOL1441,2027,4532,287,4040
yngiled,2026,4381,269,4691
Lawliet189,2017,433,40,332
PhysalisEvodia,2015,98,6,43
ScorpionXI,2015,96,5,29
glasses108,2011,2066,100,1862
K-a-k-a-s-h-i,2005,209,12,105
chess0684,2003,306,30,253
bebikotan,2002,702,67,600
kawaki987,2002,224,10,111
kH4winKfVxiJhVWs,2001,286,7,199
Ikemensama,2000,3737,342,3512
Schakkamura,2000,2000,162,1486
Hercule_Satan,1997,352,34,268
Giyuu_Tomioka,1994,183,15,121
