Player name,Joined,Last Online,Scraping time,Last Online chess.com server time
taisky8100,"Sep 23, 2022","Dec 9, 2022",2023-04-04 09:26:32,2022-12-09 00:00:00
chrisevans1703,"Sep 2, 2022",21 days ago,2023-04-04 09:26:38,2023-03-13 14:26:38
yokes3105,"Apr 3, 2022",Just now,2023-04-04 09:26:42,2023-04-03 14:26:42
RN120,"Aug 2, 2022",8 hours ago,2023-04-04 09:26:47,2023-04-03 06:26:47
BielMat,"May 14, 2022","May 25, 2022",2023-04-04 09:26:51,2022-05-25 00:00:00
MadaraUchiha43,"Aug 7, 2022","Feb 17, 2023",2023-04-04 09:26:57,2023-02-17 00:00:00
BAMSELOT,"Jul 24, 2022",Just now,2023-04-04 09:27:01,2023-04-03 14:27:01
soRa_k7,"Mar 21, 2022","Oct 28, 2022",2023-04-04 09:27:05,2022-10-28 00:00:00
FIZZYfizzz,"Jan 6, 2021",12 days ago,2023-04-04 09:27:10,2023-03-22 14:27:10
kouki_beginner,"Dec 9, 2022","Jan 8, 2023",2023-04-04 09:27:15,2023-01-08 00:00:00
terakooooou0920,"Jun 2, 2022",8 days ago,2023-04-04 09:27:19,2023-03-26 14:27:19
sooofiaaa23,"Feb 8, 2023",9 hours ago,2023-04-04 09:27:24,2023-04-03 05:27:24
timothyyue,"Dec 16, 2021","Jan 13, 2023",2023-04-04 09:27:29,2023-01-13 00:00:00
LarukuSU,"Feb 10, 2023",8 hours ago,2023-04-04 09:27:34,2023-04-03 06:27:34
leiaomg,"Dec 21, 2022",Just now,2023-04-04 09:27:38,2023-04-03 14:27:38
TouyamaKinzi,"Jul 7, 2022","Feb 24, 2023",2023-04-04 09:27:43,2023-02-24 00:00:00
ryoshinloveu,"Jan 25, 2023",Just now,2023-04-04 09:27:48,2023-04-03 14:27:48
yumegami,"Apr 29, 2022",2 hours ago,2023-04-04 09:27:52,2023-04-03 12:27:52
AQUENNO,"Mar 3, 2023",17 hours ago,2023-04-04 09:27:57,2023-04-02 21:27:57
SamHobb,"Oct 6, 2022","Oct 30, 2022",2023-04-04 09:28:02,2022-10-30 00:00:00
Usakero,"Sep 4, 2022",1 day ago,2023-04-04 09:28:07,2023-04-02 14:28:07
Haroae,"Mar 8, 2023",7 hours ago,2023-04-04 09:28:12,2023-04-03 07:28:12
Ghostsjslwjejshdusoqpdo,"Jan 31, 2023",1 day ago,2023-04-04 09:28:17,2023-04-02 14:28:17
XxM0CHAxX,"Jan 31, 2023",10 days ago,2023-04-04 09:28:22,2023-03-24 14:28:22
houda2m,"Jan 24, 2023",4 days ago,2023-04-04 09:28:27,2023-03-30 14:28:27
AAGHHH,"Jan 10, 2023",4 days ago,2023-04-04 09:28:32,2023-03-30 14:28:32
sonitta555,"Jan 6, 2023",Just now,2023-04-04 09:28:36,2023-04-03 14:28:36
Meet_Raycon,"Dec 16, 2022","Mar 4, 2023",2023-04-04 09:28:41,2023-03-04 00:00:00
asiancutieeeee,"Oct 23, 2022","Nov 4, 2022",2023-04-04 09:28:45,2022-11-04 00:00:00
Kikuo_Kun,"Oct 21, 2022",14 hours ago,2023-04-04 09:28:51,2023-04-03 00:28:51
oLoctus,"Jan 23, 2021",Just now,2023-04-04 09:28:55,2023-04-03 14:28:55
xNakamura,"Feb 13, 2022",22 days ago,2023-04-04 09:29:00,2023-03-12 14:29:00
Gendo2,"May 5, 2022","Nov 1, 2022",2023-04-04 09:29:05,2022-11-01 00:00:00
PRIME_X_MAG,"Jan 16, 2022",1 day ago,2023-04-04 09:29:10,2023-04-02 14:29:10
sugandeeezz,"Jan 17, 2023",4 days ago,2023-04-04 09:29:15,2023-03-30 14:29:15
Scarlett_1990,"Dec 30, 2022",Just now,2023-04-04 09:29:19,2023-04-03 14:29:19
JapanSweet,"Nov 23, 2022",2 days ago,2023-04-04 09:29:23,2023-04-01 14:29:23
Kazutokirigaya00,"Nov 8, 2022",19 hours ago,2023-04-04 09:29:28,2023-04-02 19:29:28
Grapefruit_DNT,"Jul 9, 2022",4 days ago,2023-04-04 09:29:33,2023-03-30 14:29:33
Oiichan,"Sep 30, 2022","Dec 11, 2022",2023-04-04 09:29:37,2022-12-11 00:00:00
Griffith578,"Jun 26, 2022",4 hours ago,2023-04-04 09:29:42,2023-04-03 10:29:42
fjxihxohf,"Apr 26, 2022","Dec 5, 2022",2023-04-04 09:29:47,2022-12-05 00:00:00
pocachiponion,"Jan 21, 2023",9 days ago,2023-04-04 09:29:53,2023-03-25 14:29:53
FoolsinApril,"Apr 1, 2022",5 days ago,2023-04-04 09:30:10,2023-03-29 14:30:10
Scammergod100,"Oct 20, 2022",1 day ago,2023-04-04 09:30:15,2023-04-02 14:30:15
1massugu,"Jun 4, 2022","Aug 7, 2022",2023-04-04 09:30:19,2022-08-07 00:00:00
AkiraQueen,"Jun 29, 2022",1 day ago,2023-04-04 09:30:23,2023-04-02 14:30:23
Daddlies,"Nov 16, 2021",10 hours ago,2023-04-04 09:30:28,2023-04-03 04:30:28
alikwq8,"Jan 6, 2023","Jan 19, 2023",2023-04-04 09:30:33,2023-01-19 00:00:00
Edamame46,"Jun 21, 2022",Just now,2023-04-04 09:30:38,2023-04-03 14:30:38
MaciekTomasz1,"Nov 9, 2022","Dec 1, 2022",2023-04-04 09:30:42,2022-12-01 00:00:00
wizzd302,"May 30, 2022",17 hours ago,2023-04-04 09:30:47,2023-04-02 21:30:47
wibudark,"Jan 4, 2022",1 day ago,2023-04-04 09:30:51,2023-04-02 14:30:51
Kazukimaru,"Jun 18, 2022",1 day ago,2023-04-04 09:30:56,2023-04-02 14:30:56
cattyhatty,"Jan 13, 2023",4 days ago,2023-04-04 09:31:01,2023-03-30 14:31:01
Big-Vstan,"May 11, 2022",16 days ago,2023-04-04 09:31:05,2023-03-18 14:31:05
pagmx177,"Apr 12, 2022",29 days ago,2023-04-04 09:31:10,2023-03-05 14:31:10
NajwaCantikkkk,"Nov 17, 2022","Feb 24, 2023",2023-04-04 09:31:14,2023-02-24 00:00:00
kindpuppeteer,"Aug 29, 2022","Oct 17, 2022",2023-04-04 09:31:19,2022-10-17 00:00:00
yusaitama,"Aug 1, 2022","Sep 10, 2022",2023-04-04 09:31:24,2022-09-10 00:00:00
kitty-lynn,"Nov 6, 2022","Jan 3, 2023",2023-04-04 09:31:28,2023-01-03 00:00:00
Tanjiro_Kamado_132,"Feb 4, 2023","Feb 10, 2023",2023-04-04 09:31:33,2023-02-10 00:00:00
RizzoHighasusual,"Jan 27, 2023","Feb 28, 2023",2023-04-04 09:31:38,2023-02-28 00:00:00
suzukn,"Jul 29, 2022",Just now,2023-04-04 09:31:43,2023-04-03 14:31:43
