Player name,Rating,Won,Draw,Lost
oonoo888,2516,43,17,57
gm3t,2487,50,9,14
Yuji9029,2438,102,16,37
LucioJPNN,2418,40,5,23
GENTAKOJIMA,2405,11,1,10
Embarcadero,2394,694,175,356
sumomomomomomomomonouchi,2367,23,3,6
EpicPlayz282,2363,29,1,11
AlexanderEdogawa,2348,45,4,33
kelvinbest,2343,160,13,55
GMsamargalo,2306,135,13,84
Kiyopon55,2304,48,5,12
jamomollie,2287,26,3,8
DarkONiiCHAN,2275,42,0,10
Yuuichi_katagiriii,2267,23,1,2
nishiokaraychel,2266,44,5,19
regoroshii,2261,18,3,6
Keeper64,2261,23,4,9
Fifth_something,2253,50,5,15
SleepyBased,2252,33,3,7
JinHimawari,2245,30,1,9
Chessez27,2245,280,9,97
Nanantoo,2243,933,65,699
iwantdrugs,2240,51,17,38
CopyCatFromSteam,2237,35,2,8
Hercule_Satan,2234,69,5,15
testcalls69,2225,135,5,44
BigMightGuy,2223,89,7,21
EliteHo3,2220,50,5,19
fxmbxy,2209,19,0,5
Diego_Yokohama_Chess,2206,52,3,12
korikou,2204,22,2,2
Uranium12347,2200,15,0,7
a414a2,2196,586,74,388
DELTA2020,2195,1176,204,1269
Out_of_the_Zoo,2187,12,8,13
MasterAyanokoji,2183,101,6,26
Arth_07,2179,228,49,175
kiyotaka1,2174,1220,127,1512
Kakashi89,2173,565,42,494
bishopenpassant,2171,743,154,356
Timetransfixed,2171,542,74,417
PhysalisEvodia,2166,133,11,65
Yenalvsu,2163,38,6,24
GMironfist19,2162,1143,216,1154
Symbols0,2159,3415,634,3306
SG_SkycladObserver1048596,2153,28,0,6
Iwillbecomethepirateking,2152,133,26,53
shemshak873,2142,346,81,237
VadimLepestkov,2138,13,5,7
Yudai0515,2136,170,19,124
Wiadromix,2131,27,1,7
djahongir2,2129,18,2,3
Zucci,2126,433,38,376
Nesh1511,2124,56,4,9
Morijiro,2124,93,10,68
sorenzo,2122,89,11,67
wanwan0308,2121,587,112,481
Aleksandrkoven,2121,123,13,75
Sas_aki,2116,24,0,8
carlosalonso1963,2114,2252,197,1877
hajimeblitz,2110,15,1,10
Mikado357914,2109,,,
suikuren,2109,41,2,14
ptetmepugner,2107,31,3,14
ramoveatnust,2105,1388,207,1317
handsometom1,2105,1139,141,1121
kenleavister163,2103,171,15,91
ExchangeSacOP,2102,125,15,28
chrysanthemon,2099,666,107,551
YeMann999,2093,2507,333,2247
QuiescentGalaxy,2093,119,3,51
IHopeTheWorldEndsTmr,2092,11,2,8
BackPawn52,2092,87,1,42
Kazushi39,2089,20,1,1
ekikAn,2088,204,25,48
Watai_Miyoko,2085,22,0,6
ndodos,2082,119,8,81
Miku-Hime,2082,22,2,4
Kremetten,2082,56,5,20
sutek001,2074,625,88,590
enju,2072,836,101,662
Ragdoll_Kitten,2071,1874,229,1861
Livychaa,2071,406,19,246
flyhighponta,2066,31,5,21
HumbleAyanokoji,2066,45,1,10
Prest9,2065,1087,157,888
ryouyin,2061,266,22,268
MitrofanAlipov,2060,470,64,283
RyanFili,2060,266,23,176
support_scalar,2059,236,40,186
lovew1n,2056,41,4,12
Sink191,2056,42,5,28
Kaminari_77,2056,202,16,155
KyoukoNeverMindMe,2053,25,1,20
Janelle_0,2049,52,7,8
Vinc3nt-still-L3arningg,2049,921,71,764
Lazer787,2047,339,36,237
chess0684,2046,58,9,33
PoimoSan,2043,16,0,6
Squared_Pants,2042,25,4,17
DimDo0M,2042,85,8,36
takapii,2041,112,8,73
sekkusu69,2040,402,29,263
Lycaon-Pictus,2039,360,71,283
nanasama,2039,66,9,30
elaurente23,2038,82,9,74
hikarikeise,2038,271,32,194
yuzugohanrin,2038,20,0,2
RahTNM,2036,300,27,116
K3NINLUV,2035,97,2,15
AxelMurdock,2034,78,1,11
Megumi_N,2031,,,
chessinjapani,2031,174,31,130
J-spade,2030,61,4,13
Dimash1812,2030,1080,177,898
toraneko777,2029,878,81,784
BEDWAR5,2026,2938,232,2628
dxc674,2025,2319,270,2200
rinnka-111,2024,317,18,237
Party_Of_One,2024,204,14,73
gm_takumi,2024,16,1,5
avenger1020,2019,1755,159,1612
