Player name,Joined,Last Online,Scraping time,Last Online chess.com server time
Angry_Twin,"Aug 4, 2012",1 day ago,2023-04-02 13:47:30,2023-03-31 18:47:30
Ryuzaki_Mochizuki,"Oct 27, 2020","Jan 16, 2023",2023-04-02 13:47:36,2023-01-16 00:00:00
csgt_voz,"Oct 26, 2022",9 days ago,2023-04-02 13:47:43,2023-03-23 18:47:43
Black-Flash,"Jul 31, 2021",1 day ago,2023-04-02 13:47:50,2023-03-31 18:47:50
Gats1,"Oct 12, 2020",4 days ago,2023-04-02 13:47:57,2023-03-28 18:47:57
RedGhost128,"Jul 24, 2022",2 days ago,2023-04-02 13:48:03,2023-03-30 18:48:03
Shinei_Nouzen86,"Jun 22, 2022","Dec 27, 2022",2023-04-02 13:48:10,2022-12-27 00:00:00
Shunyday,"Feb 16, 2023",Just now,2023-04-02 13:48:17,2023-04-01 18:48:17
Freefresh,"Apr 2, 2018",8 hours ago,2023-04-02 13:48:30,2023-04-01 10:48:30
crossingthestreet,"Apr 10, 2020",Just now,2023-04-02 13:48:37,2023-04-01 18:48:37
oonoo888,"Oct 16, 2021",2 days ago,2023-04-02 13:48:44,2023-03-30 18:48:44
clouds_71,"Jan 11, 2023",7 days ago,2023-04-02 13:48:50,2023-03-25 18:48:50
NuuOe,"Sep 24, 2022",3 days ago,2023-04-02 13:48:57,2023-03-29 18:48:57
Iwillbecomethepirateking,"Dec 29, 2018",13 hours ago,2023-04-02 13:49:03,2023-04-01 05:49:03
GMsamargalo,"Nov 24, 2012",7 hours ago,2023-04-02 13:49:10,2023-04-01 11:49:10
rnanjo,"May 22, 2011",13 hours ago,2023-04-02 13:49:16,2023-04-01 05:49:16
Takao2020,"Jun 1, 2020",5 hours ago,2023-04-02 13:49:23,2023-04-01 13:49:23
SayonaraPonytail,"Nov 17, 2021",29 minutes ago,2023-04-02 13:49:29,2023-04-01 18:20:29
SamuraisOfChess,"Nov 23, 2014",3 days ago,2023-04-02 13:49:36,2023-03-29 18:49:36
PhysalisEvodia,"Nov 20, 2019",2 days ago,2023-04-02 13:49:42,2023-03-30 18:49:42
